,lang_code,lang_name,project,url,dbname,site_name,closed
82,bg,български,,https://bg.wikibooks.org,bgwikibooks,Уикикниги,False
83,bg,български,,https://bg.wikinews.org,bgwikinews,Уикиновини,False
84,bg,български,,https://bg.wikiquote.org,bgwikiquote,Уикицитат,False
85,bg,български,,https://bg.wikisource.org,bgwikisource,Уикиизточник,False
86,bh,भोजपुरी,,https://bh.wikipedia.org,bhwiki,विकिपीडिया,False
87,bh,भोजपुरी,,https://bh.wiktionary.org,bhwiktionary,Wiktionary,False
88,bi,Bislama,,https://bi.wikipedia.org,biwiki,Wikipedia,False
89,bi,Bislama,,https://bi.wiktionary.org,biwiktionary,Wiktionary,False
90,bi,Bislama,,https://bi.wikibooks.org,biwikibooks,Wikibooks,False
91,bjn,Banjar,,https://bjn.wikipedia.org,bjnwiki,Wikipidia,False
92,bjn,Banjar,,https://bjn.wiktionary.org,bjnwiktionary,Wiktionary,False
93,bjn,Banjar,,https://bjn.wikiquote.org,bjnwikiquote,Wikipapadah,False
94,blk,ပအိုဝ်ႏဘာႏသာႏ,,https://blk.wikipedia.org,blkwiki,ဝီခီပီးဒီးယား,False
95,blk,ပအိုဝ်ႏဘာႏသာႏ,,https://blk.wiktionary.org,blkwiktionary,ဝိစ်သိဉ်နရီ,False
96,bm,bamanankan,,https://bm.wikipedia.org,bmwiki,Wikipedia,False
97,bm,bamanankan,,https://bm.wiktionary.org,bmwiktionary,Wiktionary,False
98,bm,bamanankan,,https://bm.wikibooks.org,bmwikibooks,Wikibooks,False
99,bm,bamanankan,,https://bm.wikiquote.org,bmwikiquote,Wikiquote,False
100,bn,বাংলা,,https://bn.wikipedia.org,bnwiki,উইকিপিডিয়া,False
101,bn,বাংলা,,https://bn.wiktionary.org,bnwiktionary,উইকিঅভিধান,False
102,bn,বাংলা,,https://bn.wikibooks.org,bnwikibooks,উইকিবই,False
103,bn,বাংলা,,https://bn.wikiquote.org,bnwikiquote,উইকিউক্তি,False
104,bn,বাংলা,,https://bn.wikisource.org,bnwikisource,উইকিসংকলন,False
105,bn,বাংলা,,https://bn.wikivoyage.org,bnwikivoyage,উইকিভ্রমণ,False
106,bo,བོད་ཡིག,,https://bo.wikipedia.org,bowiki,Wikipedia,False
107,bo,བོད་ཡིག,,https://bo.wiktionary.org,bowiktionary,Wiktionary,False
108,bo,བོད་ཡིག,,https://bo.wikibooks.org,bowikibooks,Wikibooks,False
109,bpy,বিষ্ণুপ্রিয়া মণিপুরী,,https://bpy.wikipedia.org,bpywiki,উইকিপিডিয়া,False
110,br,brezhoneg,,https://br.wikipedia.org,brwiki,Wikipedia,False
111,br,brezhoneg,,https://br.wiktionary.org,brwiktionary,Wikeriadur,False
112,br,brezhoneg,,https://br.wikiquote.org,brwikiquote,Wikiarroud,False
113,br,brezhoneg,,https://br.wikisource.org,brwikisource,Wikimammenn,False
114,bs,bosanski,,https://bs.wikipedia.org,bswiki,Wikipedia,False
115,bs,bosanski,,https://bs.wiktionary.org,bswiktionary,Wikirječnik,False
116,bs,bosanski,,https://bs.wikibooks.org,bswikibooks,Wikiknjige,False
117,bs,bosanski,,https://bs.wikinews.org,bswikinews,Wikivijesti,False
118,bs,bosanski,,https://bs.wikiquote.org,bswikiquote,Wikicitati,False
119,bs,bosanski,,https://bs.wikisource.org,bswikisource,Wikizvor,False
120,btm,Batak Mandailing,,https://btm.wikipedia.org,btmwiki,Wikipedia,False
121,btm,Batak Mandailing,,https://btm.wiktionary.org,btmwiktionary,Wikikamus,False
122,bug,Basa Ugi,,https://bug.wikipedia.org,bugwiki,Wikipedia,False
123,bxr,буряад,,https://bxr.wikipedia.org,bxrwiki,Wikipedia,False
124,ca,català,,https://ca.wikipedia.org,cawiki,Viquipèdia,False
125,ca,català,,https://ca.wiktionary.org,cawiktionary,Viccionari,False
126,ca,català,,https://ca.wikibooks.org,cawikibooks,Viquillibres,False
127,ca,català,,https://ca.wikinews.org,cawikinews,Viquinotícies,False
128,ca,català,,https://ca.wikiquote.org,cawikiquote,Viquidites,False
129,ca,català,,https://ca.wikisource.org,cawikisource,Viquitexts,False
130,cbk-zam,Chavacano de Zamboanga,,https://cbk-zam.wikipedia.org,cbk_zamwiki,Wikipedia,False
131,cdo,閩東語 / Mìng-dĕ̤ng-ngṳ̄,,https://cdo.wikipedia.org,cdowiki,Wikipedia,False
132,ce,нохчийн,,https://ce.wikipedia.org,cewiki,Википеди,False
133,ceb,Cebuano,,https://ceb.wikipedia.org,cebwiki,Wikipedia,False
134,ch,Chamoru,,https://ch.wikipedia.org,chwiki,Wikipedia,False
135,ch,Chamoru,,https://ch.wiktionary.org,chwiktionary,Wiktionary,False
136,ch,Chamoru,,https://ch.wikibooks.org,chwikibooks,Wikibooks,False
137,cho,Chahta anumpa,,https://cho.wikipedia.org,chowiki,Wikipedia,False
138,chr,ᏣᎳᎩ,,https://chr.wikipedia.org,chrwiki,Wikipedia,False
139,chr,ᏣᎳᎩ,,https://chr.wiktionary.org,chrwiktionary,Wiktionary,False
140,chy,Tsetsêhestâhese,,https://chy.wikipedia.org,chywiki,Tsétsêhéstâhese Wikipedia,False
141,ckb,کوردی,,https://ckb.wikipedia.org,ckbwiki,ویکیپیدیا,False
142,ckb,کوردی,,https://ckb.wiktionary.org,ckbwiktionary,ویکیفەرھەنگ,False
143,co,corsu,,https://co.wikipedia.org,cowiki,Wikipedia,False
144,co,corsu,,https://co.wiktionary.org,cowiktionary,Wiktionary,False
145,co,corsu,,https://co.wikibooks.org,cowikibooks,Wikibooks,False
146,co,corsu,,https://co.wikiquote.org,cowikiquote,Wikiquote,False
147,cr,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,,https://cr.wikipedia.org,crwiki,Wikipedia,False
148,cr,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,,https://cr.wiktionary.org,crwiktionary,Wiktionary,False
149,cr,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,,https://cr.wikiquote.org,crwikiquote,Wikiquote,False
150,crh,qırımtatarca,,https://crh.wikipedia.org,crhwiki,Vikipediya,False
151,cs,čeština,,https://cs.wikipedia.org,cswiki,Wikipedie,False
152,cs,čeština,,https://cs.wiktionary.org,cswiktionary,Wikislovník,False
153,cs,čeština,,https://cs.wikibooks.org,cswikibooks,Wikiknihy,False
154,cs,čeština,,https://cs.wikinews.org,cswikinews,Wikizprávy,False
155,cs,čeština,,https://cs.wikiquote.org,cswikiquote,Wikicitáty,False
156,cs,čeština,,https://cs.wikisource.org,cswikisource,Wikizdroje,False
157,cs,čeština,,https://cs.wikiversity.org,cswikiversity,Wikiverzita,False
158,cs,čeština,,https://cs.wikivoyage.org,cswikivoyage,Wikicesty,False
159,csb,kaszëbsczi,,https://csb.wikipedia.org,csbwiki,Wikipedia,False
160,csb,kaszëbsczi,,https://csb.wiktionary.org,csbwiktionary,Wiktionary,False
161,cu,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,,https://cu.wikipedia.org,cuwiki,Википєдїꙗ,False
162,cv,чӑвашла,,https://cv.wikipedia.org,cvwiki,Википеди,False
163,cv,чӑвашла,,https://cv.wikibooks.org,cvwikibooks,Wikibooks,False
164,cy,Cymraeg,,https://cy.wikipedia.org,cywiki,Wicipedia,False
165,cy,Cymraeg,,https://cy.wiktionary.org,cywiktionary,Wiciadur,False
166,cy,Cymraeg,,https://cy.wikibooks.org,cywikibooks,Wicilyfrau,False
167,cy,Cymraeg,,https://cy.wikiquote.org,cywikiquote,Wikiquote,False
168,cy,Cymraeg,,https://cy.wikisource.org,cywikisource,Wicidestun,False
169,da,dansk,,https://da.wikipedia.org,dawiki,Wikipedia,False
170,da,dansk,,https://da.wiktionary.org,dawiktionary,Wiktionary,False
171,da,dansk,,https://da.wikibooks.org,dawikibooks,Wikibooks,False
172,da,dansk,,https://da.wikiquote.org,dawikiquote,Wikiquote,False
173,da,dansk,,https://da.wikisource.org,dawikisource,Wikisource,False
174,dag,dagbanli,,https://dag.wikipedia.org,dagwiki,Dagbani Wikipedia,False
175,de,Deutsch,,https://de.wikipedia.org,dewiki,Wikipedia,False
176,de,Deutsch,,https://de.wiktionary.org,dewiktionary,Wiktionary,False
177,de,Deutsch,,https://de.wikibooks.org,dewikibooks,Wikibooks,False
178,de,Deutsch,,https://de.wikinews.org,dewikinews,Wikinews,False
179,de,Deutsch,,https://de.wikiquote.org,dewikiquote,Wikiquote,False
180,de,Deutsch,,https://de.wikisource.org,dewikisource,Wikisource,False
181,de,Deutsch,,https://de.wikiversity.org,dewikiversity,Wikiversity,False
182,de,Deutsch,,https://de.wikivoyage.org,dewikivoyage,Wikivoyage,False
183,dga,Dagaare,,https://dga.wikipedia.org,dgawiki,Wikipiideɛ,False
184,din,Thuɔŋjäŋ,,https://din.wikipedia.org,dinwiki,Wikipedia,False
185,diq,Zazaki,,https://diq.wikipedia.org,diqwiki,Wikipedia,False
186,diq,Zazaki,,https://diq.wiktionary.org,diqwiktionary,Wikiqısebend,False
187,dsb,dolnoserbski,,https://dsb.wikipedia.org,dsbwiki,Wikipedija,False
188,dtp,Kadazandusun,,https://dtp.wikipedia.org,dtpwiki,Wikipedia,False
189,dty,डोटेली,,https://dty.wikipedia.org,dtywiki,विकिपिडिया,False
190,dv,ދިވެހިބަސް,,https://dv.wikipedia.org,dvwiki,ވިކިޕީޑިއާ,False
191,dv,ދިވެހިބަސް,,https://dv.wiktionary.org,dvwiktionary,ވިކިރަދީފު,False
192,dz,ཇོང་ཁ,,https://dz.wikipedia.org,dzwiki,Wikipedia,False
193,dz,ཇོང་ཁ,,https://dz.wiktionary.org,dzwiktionary,Wiktionary,False
194,ee,eʋegbe,,https://ee.wikipedia.org,eewiki,Wikipedia,False
195,el,Ελληνικά,,https://el.wikipedia.org,elwiki,Βικιπαίδεια,False
196,el,Ελληνικά,,https://el.wiktionary.org,elwiktionary,Βικιλεξικό,False
197,el,Ελληνικά,,https://el.wikibooks.org,elwikibooks,Βικιβιβλία,False
198,el,Ελληνικά,,https://el.wikinews.org,elwikinews,Βικινέα,False
199,el,Ελληνικά,,https://el.wikiquote.org,elwikiquote,Βικιφθέγματα,False
200,el,Ελληνικά,,https://el.wikisource.org,elwikisource,Βικιθήκη,False
201,el,Ελληνικά,,https://el.wikiversity.org,elwikiversity,Βικιεπιστήμιο,False
202,el,Ελληνικά,,https://el.wikivoyage.org,elwikivoyage,Βικιταξίδια,False
203,eml,emiliàn e rumagnòl,,https://eml.wikipedia.org,emlwiki,Wikipedia,False
204,en,English,,https://en.wikipedia.org,enwiki,Wikipedia,False
205,en,English,,https://en.wiktionary.org,enwiktionary,Wiktionary,False
206,en,English,,https://en.wikibooks.org,enwikibooks,Wikibooks,False
207,en,English,,https://en.wikinews.org,enwikinews,Wikinews,False
208,en,English,,https://en.wikiquote.org,enwikiquote,Wikiquote,False
209,en,English,,https://en.wikisource.org,enwikisource,Wikisource,False
210,en,English,,https://en.wikiversity.org,enwikiversity,Wikiversity,False
211,en,English,,https://en.wikivoyage.org,enwikivoyage,Wikivoyage,False
212,eo,Esperanto,,https://eo.wikipedia.org,eowiki,Vikipedio,False
213,eo,Esperanto,,https://eo.wiktionary.org,eowiktionary,Vikivortaro,False
214,eo,Esperanto,,https://eo.wikibooks.org,eowikibooks,Vikilibroj,False
215,eo,Esperanto,,https://eo.wikinews.org,eowikinews,Vikinovaĵoj,False
216,eo,Esperanto,,https://eo.wikiquote.org,eowikiquote,Vikicitaro,False
217,eo,Esperanto,,https://eo.wikisource.org,eowikisource,Vikifontaro,False
218,eo,Esperanto,,https://eo.wikivoyage.org,eowikivoyage,Vikivojaĝo,False
219,es,español,,https://es.wikipedia.org,eswiki,Wikipedia,False
220,es,español,,https://es.wiktionary.org,eswiktionary,Wikcionario,False
221,es,español,,https://es.wikibooks.org,eswikibooks,Wikilibros,False
222,es,español,,https://es.wikinews.org,eswikinews,Wikinoticias,False
223,es,español,,https://es.wikiquote.org,eswikiquote,Wikiquote,False
224,es,español,,https://es.wikisource.org,eswikisource,Wikisource,False
225,es,español,,https://es.wikiversity.org,eswikiversity,Wikiversidad,False
226,es,español,,https://es.wikivoyage.org,eswikivoyage,Wikiviajes,False
227,et,eesti,,https://et.wikipedia.org,etwiki,Vikipeedia,False
228,et,eesti,,https://et.wiktionary.org,etwiktionary,Vikisõnastik,False
229,et,eesti,,https://et.wikibooks.org,etwikibooks,Vikiõpikud,False
230,et,eesti,,https://et.wikiquote.org,etwikiquote,Vikitsitaadid,False
231,et,eesti,,https://et.wikisource.org,etwikisource,Vikitekstid,False
232,eu,euskara,,https://eu.wikipedia.org,euwiki,Wikipedia,False
233,eu,euskara,,https://eu.wiktionary.org,euwiktionary,Wiktionary,False
234,eu,euskara,,https://eu.wikibooks.org,euwikibooks,Wikibooks,False
235,eu,euskara,,https://eu.wikiquote.org,euwikiquote,Wikiquote,False
236,eu,euskara,,https://eu.wikisource.org,euwikisource,Wikiteka,False
237,ext,estremeñu,,https://ext.wikipedia.org,extwiki,Güiquipeya,False
238,fa,فارسی,,https://fa.wikipedia.org,fawiki,ویکی‌پدیا,False
239,fa,فارسی,,https://fa.wiktionary.org,fawiktionary,ویکی‌واژه,False
240,fa,فارسی,,https://fa.wikibooks.org,fawikibooks,ویکی‌کتاب,False
241,fa,فارسی,,https://fa.wikinews.org,fawikinews,ویکی‌خبر,False
242,fa,فارسی,,https://fa.wikiquote.org,fawikiquote,ویکی‌گفتاورد,False
243,fa,فارسی,,https://fa.wikisource.org,fawikisource,ویکی‌نبشته,False
244,fa,فارسی,,https://fa.wikivoyage.org,fawikivoyage,ویکی‌سفر,False
245,fat,mfantse,,https://fat.wikipedia.org,fatwiki,Wikipedia,False
246,ff,Fulfulde,,https://ff.wikipedia.org,ffwiki,Wikipedia,False
247,fi,suomi,,https://fi.wikipedia.org,fiwiki,Wikipedia,False
248,fi,suomi,,https://fi.wiktionary.org,fiwiktionary,Wikisanakirja,False
249,fi,suomi,,https://fi.wikibooks.org,fiwikibooks,Wikikirjasto,False
250,fi,suomi,,https://fi.wikinews.org,fiwikinews,Wikiuutiset,False
251,fi,suomi,,https://fi.wikiquote.org,fiwikiquote,Wikisitaatit,False
252,fi,suomi,,https://fi.wikisource.org,fiwikisource,Wikiaineisto,False
253,fi,suomi,,https://fi.wikiversity.org,fiwikiversity,Wikiopisto,False
254,fi,suomi,,https://fi.wikivoyage.org,fiwikivoyage,Wikimatkat,False
255,fj,Na Vosa Vakaviti,,https://fj.wikipedia.org,fjwiki,Wikipedia,False
256,fj,Na Vosa Vakaviti,,https://fj.wiktionary.org,fjwiktionary,Wiktionary,False
257,fo,føroyskt,,https://fo.wikipedia.org,fowiki,Wikipedia,False
258,fo,føroyskt,,https://fo.wiktionary.org,fowiktionary,Wiktionary,False
259,fo,føroyskt,,https://fo.wikisource.org,fowikisource,Wikiheimild,False
260,fon,fɔ̀ngbè,,https://fon.wikipedia.org,fonwiki,Wikipedya,False
261,fr,français,,https://fr.wikipedia.org,frwiki,Wikipédia,False
262,fr,français,,https://fr.wiktionary.org,frwiktionary,Wiktionnaire,False
263,fr,français,,https://fr.wikibooks.org,frwikibooks,Wikilivres,False
264,fr,français,,https://fr.wikinews.org,frwikinews,Wikinews,False
265,fr,français,,https://fr.wikiquote.org,frwikiquote,Wikiquote,False
266,fr,français,,https://fr.wikisource.org,frwikisource,Wikisource,False
267,fr,français,,https://fr.wikiversity.org,frwikiversity,Wikiversité,False
268,fr,français,,https://fr.wikivoyage.org,frwikivoyage,Wikivoyage,False
269,frp,arpetan,,https://frp.wikipedia.org,frpwiki,Vouiquipèdia,False
270,frr,Nordfriisk,,https://frr.wikipedia.org,frrwiki,Wikipedia,False
271,fur,furlan,,https://fur.wikipedia.org,furwiki,Vichipedie,False
272,fy,Frysk,,https://fy.wikipedia.org,fywiki,Wikipedy,False
273,fy,Frysk,,https://fy.wiktionary.org,fywiktionary,Wikiwurdboek,False
274,fy,Frysk,,https://fy.wikibooks.org,fywikibooks,Wikibooks,False
275,ga,Gaeilge,,https://ga.wikipedia.org,gawiki,Vicipéid,False
276,ga,Gaeilge,,https://ga.wiktionary.org,gawiktionary,Vicífhoclóir,False
277,ga,Gaeilge,,https://ga.wikibooks.org,gawikibooks,Vicíleabhair,False
278,ga,Gaeilge,,https://ga.wikiquote.org,gawikiquote,Vicísliocht,False
279,gag,Gagauz,,https://gag.wikipedia.org,gagwiki,Vikipediya,False
280,gan,贛語,,https://gan.wikipedia.org,ganwiki,維基百科,False
281,gcr,kriyòl gwiyannen,,https://gcr.wikipedia.org,gcrwiki,Wikipédja,False
282,gd,Gàidhlig,,https://gd.wikipedia.org,gdwiki,Uicipeid,False
283,gd,Gàidhlig,,https://gd.wiktionary.org,gdwiktionary,Wiktionary,False
284,gl,galego,,https://gl.wikipedia.org,glwiki,Wikipedia,False
285,gl,galego,,https://gl.wiktionary.org,glwiktionary,Wiktionary,False
286,gl,galego,,https://gl.wikibooks.org,glwikibooks,Wikibooks,False
287,gl,galego,,https://gl.wikiquote.org,glwikiquote,Wikiquote,False
288,gl,galego,,https://gl.wikisource.org,glwikisource,Wikisource,False
289,glk,گیلکی,,https://glk.wikipedia.org,glkwiki,Wikipedia,False
290,gn,Avañe'ẽ,,https://gn.wikipedia.org,gnwiki,Vikipetã,False
291,gn,Avañe'ẽ,,https://gn.wiktionary.org,gnwiktionary,Wiktionary,False
292,gn,Avañe'ẽ,,https://gn.wikibooks.org,gnwikibooks,Wikibooks,False
293,gom,गोंयची कोंकणी / Gõychi Konknni,,https://gom.wikipedia.org,gomwiki,विकिपीडिया,False
294,gom,गोंयची कोंकणी / Gõychi Konknni,,https://gom.wiktionary.org,gomwiktionary,Wiktionary,False
295,gor,Bahasa Hulontalo,,https://gor.wikipedia.org,gorwiki,Wikipedia,False
296,gor,Bahasa Hulontalo,,https://gor.wiktionary.org,gorwiktionary,Wikikamus,False
297,gor,Bahasa Hulontalo,,https://gor.wikiquote.org,gorwikiquote,Wikilumadu,False
298,got,𐌲𐌿𐍄𐌹𐍃𐌺,,https://got.wikipedia.org,gotwiki,Wikipedia,False
299,got,𐌲𐌿𐍄𐌹𐍃𐌺,,https://got.wikibooks.org,gotwikibooks,Wikibooks,False
300,gpe,Ghanaian Pidgin,,https://gpe.wikipedia.org,gpewiki,Wikipedia,False
301,gsw,Alemannisch,,https://als.wikipedia.org,alswiki,Wikipedia,False
302,gu,ગુજરાતી,,https://gu.wikipedia.org,guwiki,વિકિપીડિયા,False
303,gu,ગુજરાતી,,https://gu.wiktionary.org,guwiktionary,વિકિકોશ,False
304,gu,ગુજરાતી,,https://gu.wikibooks.org,guwikibooks,Wikibooks,False
305,gu,ગુજરાતી,,https://gu.wikiquote.org,guwikiquote,વિકિસૂક્તિ,False
306,gu,ગુજરાતી,,https://gu.wikisource.org,guwikisource,વિકિસ્રોત,False
307,guc,wayuunaiki,,https://guc.wikipedia.org,gucwiki,Wikipeetia,False
308,gur,farefare,,https://gur.wikipedia.org,gurwiki,Wikipiidiya,False
309,guw,gungbe,,https://guw.wikipedia.org,guwwiki,Wikipedia,False
310,guw,gungbe,,https://guw.wiktionary.org,guwwiktionary,Wiktionary,False
311,guw,gungbe,,https://guw.wikinews.org,guwwikinews,Wikilinlin,False
312,guw,gungbe,,https://guw.wikiquote.org,guwwikiquote,Wikiquote,False
313,gv,Gaelg,,https://gv.wikipedia.org,gvwiki,Wikipedia,False
314,gv,Gaelg,,https://gv.wiktionary.org,gvwiktionary,Wiktionary,False
315,ha,Hausa,,https://ha.wikipedia.org,hawiki,Wikipedia,False
316,ha,Hausa,,https://ha.wiktionary.org,hawiktionary,Wiktionary,False
317,hak,客家語 / Hak-kâ-ngî,,https://hak.wikipedia.org,hakwiki,Wikipedia,False
318,haw,Hawaiʻi,,https://haw.wikipedia.org,hawwiki,Wikipedia,False
319,he,עברית,,https://he.wikipedia.org,hewiki,ויקיפדיה,False
320,he,עברית,,https://he.wiktionary.org,hewiktionary,ויקימילון,False
321,he,עברית,,https://he.wikibooks.org,hewikibooks,ויקיספר,False
322,he,עברית,,https://he.wikinews.org,hewikinews,ויקיחדשות,False
323,he,עברית,,https://he.wikiquote.org,hewikiquote,ויקיציטוט,False
324,he,עברית,,https://he.wikisource.org,hewikisource,ויקיטקסט,False
325,he,עברית,,https://he.wikivoyage.org,hewikivoyage,ויקימסע,False
326,hi,हिन्दी,,https://hi.wikipedia.org,hiwiki,विकिपीडिया,False
327,hi,हिन्दी,,https://hi.wiktionary.org,hiwiktionary,विक्षनरी,False
328,hi,हिन्दी,,https://hi.wikibooks.org,hiwikibooks,विकिपुस्तक,False
329,hi,हिन्दी,,https://hi.wikiquote.org,hiwikiquote,विकिसूक्ति,False
330,hi,हिन्दी,,https://hi.wikisource.org,hiwikisource,विकिस्रोत,False
331,hi,हिन्दी,,https://hi.wikiversity.org,hiwikiversity,विकिविश्वविद्यालय,False
332,hi,हिन्दी,,https://hi.wikivoyage.org,hiwikivoyage,विकियात्रा,False
